"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR1191866","ERR1191867","ERR1191869"
"group_10","","IS5 family transposase ISSpn7","3","3","1","2","63","","","","383","383","383","CPJADAKE_01215","EJKBOHLF_01958","MCNKEKOJ_01095"
"group_100","","hypothetical protein","3","3","1","1","426","","","","275","1190","885","CPJADAKE_00185","EJKBOHLF_00422","MCNKEKOJ_00280"
"btuD_1","","Vitamin B12 import ATP-binding protein BtuD","3","3","1","1","415","","","","719","878","772","CPJADAKE_00190","EJKBOHLF_00417","MCNKEKOJ_00285"
"group_102","","hypothetical protein","3","3","1","1","408","","","","101","101","101","CPJADAKE_00197","EJKBOHLF_00410","MCNKEKOJ_00292"
"leuA","","2-isopropylmalate synthase","3","3","1","5","58","","","","1094","1094","1094","CPJADAKE_00310","EJKBOHLF_02011","MCNKEKOJ_00933"
"group_104","","hypothetical protein","3","3","1","5","52","","","","1343","1343","1343","CPJADAKE_00316","EJKBOHLF_01215","MCNKEKOJ_00926"
"smc","","Chromosome partition protein Smc","3","3","1","5","49","","","","3539","3539","3539","CPJADAKE_00320","EJKBOHLF_01211","MCNKEKOJ_00922"
"ybjI","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","3","3","1","5","48","","","","794","794","794","CPJADAKE_00321","EJKBOHLF_01210","MCNKEKOJ_00921"
"group_107","","hypothetical protein","3","3","1","5","41","","","","710","953","872","CPJADAKE_00327","EJKBOHLF_01204","MCNKEKOJ_00915"
"mshD_1","","Mycothiol acetyltransferase","3","3","1","5","37","","","","488","509","495","CPJADAKE_00331","EJKBOHLF_01201","MCNKEKOJ_00912"
"group_11","","hypothetical protein","3","3","1","1","172","","","","245","671","438","CPJADAKE_01401","EJKBOHLF_00790","MCNKEKOJ_00721"
"nudC","","NADH pyrophosphatase","3","3","1","5","36","","","","467","467","467","CPJADAKE_00332","EJKBOHLF_01200","MCNKEKOJ_00911"
"artP_2","","Arginine-binding extracellular protein ArtP","3","3","1","1","1444","","","","545","806","719","CPJADAKE_00392","EJKBOHLF_01160","MCNKEKOJ_01460"
"argG","","Argininosuccinate synthase","3","3","1","1","1445","","","","227","1196","614","CPJADAKE_00393","EJKBOHLF_01158","MCNKEKOJ_01459"
"group_116","","hypothetical protein","3","3","1","1","1451","","","","353","374","367","CPJADAKE_00401","EJKBOHLF_01151","MCNKEKOJ_01452"
"group_117","","hypothetical protein","3","3","1","1","1452","","","","728","728","728","CPJADAKE_00404","EJKBOHLF_02136","MCNKEKOJ_01451"
"group_118","","hypothetical protein","3","3","1","1","1457","","","","455","455","455","CPJADAKE_00409","EJKBOHLF_01457","MCNKEKOJ_00611"
"group_119","","hypothetical protein","3","3","1","1","1461","","","","215","323","251","CPJADAKE_00413","EJKBOHLF_01453","MCNKEKOJ_00607"
"group_120","","hypothetical protein","3","3","1","1","1468","","","","617","929","736","CPJADAKE_00419","EJKBOHLF_01446","MCNKEKOJ_00600"
"group_121","","hypothetical protein","3","3","1","1","1393","","","","308","1538","752","CPJADAKE_00425","EJKBOHLF_01440","MCNKEKOJ_00595"
"ugd","","hypothetical protein","3","3","1","1","1391","","","","137","1172","482","CPJADAKE_00427","EJKBOHLF_01438","MCNKEKOJ_00593"
"murF","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","3","3","1","1","694","","","","1373","1373","1373","CPJADAKE_00485","EJKBOHLF_00085","MCNKEKOJ_00024"
"sulA","","Dihydropteroate synthase","3","3","1","1","1254","","","","944","950","947","CPJADAKE_00555","EJKBOHLF_01603","MCNKEKOJ_01731"
"group_127","","IS200/IS605 family transposase ISStin10","3","3","1","1","1234","","","","215","215","215","CPJADAKE_00575","EJKBOHLF_01677","MCNKEKOJ_01361"
"rlmN","","putative dual-specificity RNA methyltransferase RlmN","3","3","1","6","80","","","","746","1085","972","CPJADAKE_00626","EJKBOHLF_01250","MCNKEKOJ_01187"
"group_134","","3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2","3","3","1","6","107","","","","698","698","698","CPJADAKE_00651","EJKBOHLF_01273","MCNKEKOJ_01162"
"group_137","","hypothetical protein","3","3","1","1","508","","","","422","515","483","CPJADAKE_00682","EJKBOHLF_01472","MCNKEKOJ_01666"
"fpgS_1","","Folylpolyglutamate synthase","3","3","1","1","1349","","","","1250","1250","1250","CPJADAKE_00814","EJKBOHLF_00320","MCNKEKOJ_00554"
"udk_1","","Uridine kinase","3","3","1","1","1341","","","","584","617","606","CPJADAKE_00822","EJKBOHLF_00328","MCNKEKOJ_00546"
"phnU","","Putative 2-aminoethylphosphonate transport system permease protein PhnU","3","3","1","1","1306","","","","299","626","517","CPJADAKE_00857","EJKBOHLF_00363","MCNKEKOJ_00512"
"group_141","","hypothetical protein","3","3","1","1","1303","","","","365","449","394","CPJADAKE_00860","EJKBOHLF_00365","MCNKEKOJ_00509"
"group_142","","putative protein","3","3","1","1","1302","","","","194","608","470","CPJADAKE_00861","EJKBOHLF_00366","MCNKEKOJ_00508"
"dtd","","D-aminoacyl-tRNA deacylase","3","3","1","1","720","","","","443","443","443","CPJADAKE_00509","EJKBOHLF_00107","MCNKEKOJ_00047"
"apt","","Adenine phosphoribosyltransferase","3","3","1","1","761","","","","512","512","512","CPJADAKE_00731","EJKBOHLF_00151","MCNKEKOJ_00090"
"ecfT_2","","Energy-coupling factor transporter transmembrane protein EcfT","3","3","1","3","112","","","","794","794","794","CPJADAKE_00769","EJKBOHLF_01544","MCNKEKOJ_00426"
"nnrD","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase","3","3","1","1","502","","","","872","872","872","CPJADAKE_00675","EJKBOHLF_01478","MCNKEKOJ_01659"
"manZ_1","","PTS system mannose-specific EIID component","3","3","1","1","959","","","","815","815","815","CPJADAKE_01368","EJKBOHLF_00839","MCNKEKOJ_01232"
"group_1430","","hypothetical protein","3","3","1","2","23","","","","230","230","230","CPJADAKE_02006","EJKBOHLF_01999","MCNKEKOJ_01054"
"rplR","","50S ribosomal protein L18","3","3","1","1","1323","","","","356","356","356","CPJADAKE_00840","EJKBOHLF_00346","MCNKEKOJ_00528"
"rpsN2","","Alternate 30S ribosomal protein S14","3","3","1","1","1326","","","","269","269","269","CPJADAKE_00837","EJKBOHLF_00343","MCNKEKOJ_00531"
"fabM","","Trans-2-decenoyl-[acyl-carrier-protein] isomerase","3","3","1","1","1139","","","","785","785","785","CPJADAKE_00057","EJKBOHLF_00247","MCNKEKOJ_00866"
"nrdH","","Glutaredoxin-like protein NrdH","3","3","1","6","40","","","","218","218","218","CPJADAKE_01920","EJKBOHLF_01818","MCNKEKOJ_01817"
"rplV","","50S ribosomal protein L22","3","3","1","1","1334","","","","344","344","344","CPJADAKE_00829","EJKBOHLF_00335","MCNKEKOJ_00539"
"sodA","","Superoxide dismutase [Mn]","3","3","1","6","78","","","","605","605","605","CPJADAKE_00624","EJKBOHLF_01248","MCNKEKOJ_01189"
"tadA_1","","tRNA-specific adenosine deaminase","3","3","1","6","59","","","","467","467","467","CPJADAKE_00605","EJKBOHLF_01855","MCNKEKOJ_01208"
"yabJ","","2-iminobutanoate/2-iminopropanoate deaminase","3","3","1","1","773","","","","380","380","380","CPJADAKE_00741","EJKBOHLF_00161","MCNKEKOJ_00100"
"group_1439","","hypothetical protein","3","3","1","6","114","","","","287","287","287","CPJADAKE_00658","EJKBOHLF_01696","MCNKEKOJ_01885"
"phoU_1","","Phosphate-specific transport system accessory protein PhoU ","3","3","1","1","386","","","","653","653","653","CPJADAKE_00220","EJKBOHLF_00387","MCNKEKOJ_00314"
"group_1441","","hypothetical protein","3","3","1","2","184","","","","233","233","233","CPJADAKE_01734","EJKBOHLF_02022","MCNKEKOJ_02018"
"rsfS","","Ribosomal silencing factor RsfS","3","3","1","1","621","","","","353","353","353","CPJADAKE_01696","EJKBOHLF_00016","MCNKEKOJ_00659"
