locus_tag	ftype	length_bp	gene	EC_number	COG	product
MCNKEKOJ_00001	CDS	228				hypothetical protein
MCNKEKOJ_00002	CDS	2898	nanA_1	3.2.1.18	COG4409	Sialidase A
MCNKEKOJ_00003	CDS	96				hypothetical protein
MCNKEKOJ_00004	CDS	453				hypothetical protein
MCNKEKOJ_00005	CDS	1338				hypothetical protein
MCNKEKOJ_00006	CDS	885	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
MCNKEKOJ_00007	CDS	834	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
MCNKEKOJ_00008	CDS	2094	nanB	3.2.1.18	COG4409	Sialidase B
MCNKEKOJ_00009	CDS	1104	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
MCNKEKOJ_00010	CDS	699	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
MCNKEKOJ_00011	CDS	1518	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
MCNKEKOJ_00012	CDS	1329				hypothetical protein
MCNKEKOJ_00013	CDS	888	lacF_1			Lactose transport system permease protein LacF
MCNKEKOJ_00014	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
MCNKEKOJ_00015	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
MCNKEKOJ_00016	CDS	345				hypothetical protein
MCNKEKOJ_00017	CDS	645				hypothetical protein
MCNKEKOJ_00018	CDS	918	nanA_2	4.1.3.3	COG0329	N-acetylneuraminate lyase
MCNKEKOJ_00019	CDS	885	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
MCNKEKOJ_00020	CDS	852	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
MCNKEKOJ_00021	CDS	2043	penA		COG0768	Penicillin-binding protein 2B
MCNKEKOJ_00022	CDS	597	recR		COG0353	Recombination protein RecR
MCNKEKOJ_00023	CDS	1044	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
MCNKEKOJ_00024	CDS	1374	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MCNKEKOJ_00025	CDS	612				hypothetical protein
MCNKEKOJ_00026	CDS	705				hypothetical protein
MCNKEKOJ_00027	CDS	1374	ftsA		COG0849	Cell division protein FtsA
MCNKEKOJ_00028	CDS	1260	ftsZ		COG0206	Cell division protein FtsZ
MCNKEKOJ_00029	CDS	672			COG0325	Pyridoxal phosphate homeostasis protein
MCNKEKOJ_00030	CDS	540	sepF		COG1799	Cell division protein SepF
MCNKEKOJ_00031	CDS	264				hypothetical protein
MCNKEKOJ_00032	CDS	786				hypothetical protein
MCNKEKOJ_00033	CDS	789	divIVA		COG3599	Cell division protein DivIVA
MCNKEKOJ_00034	CDS	2793	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MCNKEKOJ_00035	CDS	363				hypothetical protein
MCNKEKOJ_00036	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
MCNKEKOJ_00037	CDS	2412				hypothetical protein
MCNKEKOJ_00038	CDS	702			COG1136	putative ABC transporter ATP-binding protein
MCNKEKOJ_00039	CDS	2709				hypothetical protein
MCNKEKOJ_00040	CDS	492	tpx	1.11.1.15	COG2077	Thiol peroxidase
MCNKEKOJ_00041	CDS	930	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
MCNKEKOJ_00042	CDS	849	mntB			Manganese transport system membrane protein MntB
MCNKEKOJ_00043	CDS	723	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
MCNKEKOJ_00044	CDS	1893	pepO	3.4.24.-	COG3590	Neutral endopeptidase
MCNKEKOJ_00045	CDS	630		3.-.-.-		putative metallo-hydrolase
MCNKEKOJ_00046	CDS	2223	relA			Bifunctional (p)ppGpp synthase/hydrolase RelA
MCNKEKOJ_00047	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
MCNKEKOJ_00048	CDS	114				hypothetical protein
MCNKEKOJ_00049	CDS	651	dtxR			Diphtheria toxin repressor
MCNKEKOJ_00050	CDS	843				hypothetical protein
MCNKEKOJ_00051	CDS	438	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
MCNKEKOJ_00052	CDS	252				hypothetical protein
MCNKEKOJ_00053	CDS	1074				hypothetical protein
MCNKEKOJ_00054	CDS	678	graR		COG0745	Response regulator protein GraR
MCNKEKOJ_00055	CDS	975	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
MCNKEKOJ_00056	CDS	1944	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
MCNKEKOJ_00057	CDS	141				hypothetical protein
MCNKEKOJ_00058	CDS	201				hypothetical protein
MCNKEKOJ_00059	CDS	630				hypothetical protein
MCNKEKOJ_00060	CDS	270	rpsO		COG0184	30S ribosomal protein S15
MCNKEKOJ_00061	CDS	615				hypothetical protein
MCNKEKOJ_00062	CDS	750	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
MCNKEKOJ_00063	CDS	2337	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
MCNKEKOJ_00064	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
MCNKEKOJ_00065	CDS	798			COG0327	GTP cyclohydrolase 1 type 2 
MCNKEKOJ_00066	CDS	1104	thiO	1.4.3.19		Glycine oxidase
MCNKEKOJ_00067	CDS	1020	lnpD	5.1.3.2		UDP-glucose 4-epimerase
MCNKEKOJ_00068	CDS	972	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
MCNKEKOJ_00069	CDS	477				hypothetical protein
MCNKEKOJ_00070	CDS	672	cmk	2.7.4.25	COG0283	Cytidylate kinase
MCNKEKOJ_00071	CDS	339				hypothetical protein
MCNKEKOJ_00072	CDS	630				hypothetical protein
MCNKEKOJ_00073	CDS	1152				hypothetical protein
MCNKEKOJ_00074	CDS	750	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MCNKEKOJ_00075	CDS	774	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
MCNKEKOJ_00076	CDS	462	hmpT		COG4720	Thiamine precursor transporter HmpT
MCNKEKOJ_00077	CDS	213				IS3 family transposase ISSpn11
MCNKEKOJ_00078	CDS	243				hypothetical protein
MCNKEKOJ_00079	CDS	1083	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
MCNKEKOJ_00080	CDS	783	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
MCNKEKOJ_00081	CDS	1344	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
